railroad,incdtno,year,month,day,timehr,timemin,ampm,type,carshzd,station,state,temp,visiblty,weather,trnspd,typspd,tons,trkclas,typtrk,loadf1,emptyf1,cause,acctrk,acctrkcl,highspd,accdmg,stcnty,totinj,totkld,enghr,cdtrhr,jointcd,region,year4,county,cntycd,narr1,narr2,narr3,latitude,longitud
UP,0922TO027,22,9,30,6,55,AM,7,0,PECOS,48,59,1.0,1.0,60,E,6874,5,1.0,120,0,M302,1.0,5,60,41881,48C389,0,0,,,1,5,2022,REEVES,389,THE ILAMQB-28 WAS EASTBOUND WHEN A TRACTOR TRAILER STALLED ON THE CROSSING AT MP 643.67. CREW PLUGGE,D TRAIN 300 FOOT PRIOR TO IMPACT. DRIVER ABANDONED VEHICLE PRIOR TO COLLISION.,,31.44313,-103.445948
UP,0922HO008,22,9,8,9,40,AM,1,0,SUGAR LAND,48,77,2.0,1.0,7,E,1716,1,2.0,14,0,M405,2.0,1,7,161504,48C157,0,0,3.0,3.0,1,5,2022,FORT BEND,157,"THE LHT43-08 DERAILED 9 CARS WHILE SHOVING INTO THE HINES LEAD. AFTER FURTHER INVESTIGATION, IT WAS","DETERMINED THE CAUSE OF THE DERAILMENT TO BE M405 L/V: TRUCKSIDE. THROUGH THE REVIEW PROCESS, NO DEF",ECTS WERE FOUND IN THE BREAK LOCATIONS OF THE RAIL. IT WAS ALSO DETERMINED THAT THE TIES WERE RESTRA,29.626398,-95.604793
UP,0922HO011,22,9,11,2,0,PM,1,0,HOUSTON,48,91,2.0,1.0,2,E,1156,1,2.0,4,19,M408,2.0,1,2,80752,48C201,0,0,7.0,,1,5,2022,HARRIS,201,THE YEW16R-11 WAS PULLING A CUT OUT OF BOWL TRACK 47 WHILE CARS WERE BEING HUMPED INTO TRACK 48 WHIC,H WAS A BRAKE TRACK OR TIE DOWN TRACK DUE TO THE SKATES ON THE WEST END BEING INOPERABLE AND 6 CARS,"DERAILED IN BOWL 47 AND 48 IN ENGLEWOOD YARD. THERE WERE 2 SETS OF 2 CARS, ALL BEING LOADS THAT WERE",29.792499,-95.298482
UP,0922HO033,22,9,25,2,30,PM,12,0,DAYTON,48,96,2.0,1.0,4,E,0,1,2.0,0,0,H307,2.0,1,4,320235,48C291,0,0,7.0,,3,5,2022,LIBERTY,291,THE LHX01B-25 WAS DRAGGING 20 EMPTY TANKS OUT OF TRACK 14 ON THE LEAD. WHILE LHX02R-25 WERE RUNNING,"LIGHT POWER, THEY STRUCK TRAIN LHX01B-25 WITH LOCOMOTIVES BETWEEN THE 2ND & 3RD CAR OF THE 20 CARS T",HAT THE LHX01B WAS DRAGGING OUT.,30.012524,-94.902256
UP,0922HO033,22,9,25,2,30,PM,12,0,DAYTON,48,96,2.0,1.0,4,E,5471,1,2.0,0,20,H307,2.0,1,4,320235,48C291,0,0,6.0,6.0,1,5,2022,LIBERTY,291,THE LHX01B-25 WAS DRAGGING 20 EMPTY TANKS OUT OF TRACK 14 ON THE LEAD. WHILE LHX02R-25 WERE RUNNING,"LIGHT POWER, THEY STRUCK TRAIN LHX01B-25 WITH LOCOMOTIVES BETWEEN THE 2ND & 3RD CAR OF THE 20 CARS T",HAT THE LHX01B WAS DRAGGING OUT.,30.012524,-94.902256
BNSF,RD0822129,22,8,23,4,21,PM,1,0,MIDWAY,48,90,2.0,1.0,7,E,421,1,4.0,3,0,T113,4.0,1,7,80000,48C313,1,0,10.0,10.0,1,5,2022,MADISON,313,R-RDV006-1-23I CREW WAS PULLING OUT OF INDUSTRY AND DERAILED 1 RAILCAR DUE TO WIDE GAUGE.  NO HAZMAT,RELEASED.,,32.401381,-97.403761
BNSF,RD0822107,22,8,7,8,30,PM,1,0,MIDLOTHIAN,48,94,3.0,1.0,7,E,875,1,4.0,0,35,E65C,4.0,1,7,71981,48C139,0,0,2.0,2.0,1,5,2022,ELLIS,139,R-RDV007-1-07I CREW WAS SHOVING INTO THE COAL INDUSTRY AND THE TRAIN DERAILED 5 RAILCARS. THE RAILCA,RS THEN STRUCK AN ENGINE PARKED IN THE ADJACENT TRACK NOT PART OF THE TRAIN DUE TO WORN TREAD.  NO H,AZMAT RELEASED.,32.47061,-97.017603
BNSF,RD0822112,22,8,11,10,30,AM,1,0,TEAGUE,48,95,2.0,1.0,8,R,1188,1,2.0,9,6,T307,2.0,1,8,68471,48C161,0,0,3.0,3.0,1,5,2022,FREESTONE,161,CREW DERAILED 4 RAILCARS WHILE SHOVING THROUGH YARD TRACK DUE TO SWITCH MALFUNCTION.  NO HAZMAT RELE,ASED.,,31.633603,-96.288477
BNSF,RD0622208,22,6,29,9,56,AM,7,0,RHOME,48,93,2.0,1.0,40,E,5333,4,1.0,78,0,M302,1.0,4,40,29000,48C497,0,0,3.0,3.0,1,5,2022,WISE,497,Z ALTSTO2 29U ON SINGLE MAIN TRACK STRUCK A TRUCK AND TRAILER HIGH CENTERED ON A HGX AND HAD PRECEDE,"D THE GATES. NO HAZMAT RELEASED. TRUCK WAS UNOCCUPIED, USER AGE UNKNOWN.",,33.026276,-97.44442
BNSF,RD0622124,22,6,27,7,35,AM,1,0,TEMPLE,48,86,1.0,1.0,2,R,10656,1,2.0,80,17,H602,2.0,1,2,301097,48C027,0,0,8.0,8.0,1,5,2022,BELL,27,Y-TPL305-1-26A DERAILED 1 LOCOMOTIVE AND 8 RAILCARS WHEN PULLING TRACK 124. DUE TO SWITCHING MOVEMEN,"T, EXCESSIVE SPEED. NO HAZARDOUS MATERIALS WERE RELEASED.",,31.115833,-97.350146
BNSF,RD0622111,22,6,12,8,35,PM,1,0,TOMBALL,48,85,3.0,1.0,6,R,12155,1,3.0,85,0,E64C,3.0,1,6,142406,48C201,0,0,5.0,5.0,1,5,2022,HARRIS,201,U-HTOORR-0-09T DERAILED 8 RAILCARS AFTER  ITFX 64839 DERAILED DUE TO WORN FLANGE. NO HAZARDOUS MATER,IALS WERE RELEASED.,,30.036808,-95.578582
UP,0522SX025,22,5,27,1,19,PM,7,0,NEW BRAUNFELS,48,91,2.0,1.0,39,R,5932,4,1.0,28,95,M308,1.0,4,39,665803,48C091,1,0,2.0,2.0,1,5,2022,COMAL,91,"TRAIN MLDNL-26, LEAD LOCOMOTIVE UP9071, WAS TRAVELING NORTHBOUND ON AUSTIN SUB AT 39 MPH WHEN A DUMP","TRUCK TRAVELING ACROSS THE TRACKS FROM WEST TO EAST DID NOT STOP AND RAN OUT IN FRONT OF THE TRAIN,",RESULTING IN A CROSSING ACCIDENT AND A DERAILMENT. NO INJURIES TO CREW.,29.660544,-98.196637
UP,0522SX028,22,5,30,11,25,AM,7,0,SABINAL,48,82,2.0,1.0,44,R,6335,4,1.0,109,0,M303,1.0,4,44,35687,48C463,0,0,3.0,3.0,1,5,2022,UVALDE,463,TRAIN ILBHO-27 WAS HEADING EASTBOUND AND A DODGE RAM 3500 PULLING A CAMPER WAS HANGING OUT OVER THE,CROSSING AT CENTER ST. THE TRUCK EASED FORWARD A FEW TIMES BUT WAS NOT ABLE TO GET OUT OF THE WAY CO,MPLETELY DUE TO TRAFFIC IN FRONT OF HIM.,29.319215,-99.466748
UP,0522SX032,22,5,30,3,35,AM,1,0,TAYLOR,48,77,4.0,2.0,5,E,3136,1,2.0,15,61,T314,2.0,1,5,120675,48C491,0,0,1.0,1.0,1,5,2022,WILLIAMSON,491,TRAIN MSANP-29 WAS TRAVELING NORTH OFF THE AUSTIN MAIN THROUGH THE CUT OFF TRACK INTO YARD TRACK 001,WHEN THE CAR PICKED THE SWITCH AND DERAILED A TOTAL OF 6 CARS.,,30.567225,-97.409267
UP,0522SX033,22,5,31,9,42,PM,1,0,TAYLOR,48,86,4.0,2.0,6,E,11960,2,1.0,83,63,H601,1.0,2,6,69260,48C491,0,0,1.0,1.0,1,5,2022,WILLIAMSON,491,"TRAIN MSAFW-31 WAS MAKING A PICK UP IN TAYLOR YARD. WHILE SHOVING BACK, CREW MADE A JOINT AT A SPEED","HIGHER THAN PRESCRIBED, CAUSING A ONE-WHEEL DERAILMENT.",,30.566067,-97.431762
UP,0522TO001,22,5,1,4,40,AM,1,0,FORT WORTH,48,55,1.0,1.0,8,E,2104,1,2.0,16,3,H318,2.0,1,8,42826,48C439,0,0,5.0,,1,5,2022,TARRANT,439,"THE YFW30R-30 WAS PINNING CARS OFF THE HUMP. THE JOB RELEASED GATX36269 TO ROLL INTO BOWL TRACK 6, A",CLEAR TRACK. THE CAR ROLLED INTO THE TRACK AND TO THE EAST END SKATE RETARDER. THE RETARDER WAS CLO,"SED, BUT IT DID NOT STOP THE CAR, AND IT ROLLED THRU IT AND INTO THE CAR SHOP DERAIL, JUST WEST OF T",32.722577,-97.38051
UP,0522TO005,22,5,3,4,5,AM,7,0,MIDLAND,48,62,1.0,1.0,40,E,9583,5,1.0,72,14,M302,1.0,5,40,48144,48C329,0,0,2.0,2.0,1,5,2022,MIDLAND,329,"WESTBOUND TRAIN MFWMH-01, LEAD LOCOMOTIVE UP8225, COLLIDED WITH A TRUCK, SPLITTING IT IN HALF, AT A","CROSSING NEAR MILE POST 556.5 OF THE TOYAH SUBDIVISION, IN MIDLAND, TX.",,31.972572,-102.11882
UP,0522TO034,22,5,19,1,30,AM,1,0,EL PASO,48,84,4.0,1.0,5,E,429,1,4.0,0,7,T206,4.0,1,5,37329,48C141,0,0,3.0,3.0,1,5,2022,EL PASO,141,"CREW ON THE YLP72-18 WERE PULLING SEVEN EMPTY CARS OUT FROM TRACK 741, WHEN THEY DERAILED TWO CARS P",LUS TWO LOCOMOTIVES. THERE WERE NO INJURIES AND NO SPILLS REPORTED. **INDUSTRY MAINTAINS TRACK**,,31.764015,-106.401143
UP,0522TO040,22,5,22,12,50,AM,1,0,EL PASO,48,74,4.0,1.0,5,E,872,1,4.0,6,2,T205,4.0,1,5,31482,48C141,0,0,2.0,2.0,1,5,2022,EL PASO,141,"CREW ON THE YLP72-21 WAS PULLING OUT OF THE INDUSTRY, WHEN THEY DERAILED 2 CARS AND ONE LOCOMOTIVE.",**INDUSTRY MAINTAINS TRACK**,,31.765276,-106.402007
UP,0722HL002,22,7,3,11,15,PM,1,0,AMARILLO,48,79,4.0,1.0,3,E,4267,1,4.0,30,0,T314,4.0,1,3,98310,48C375,0,0,10.0,10.0,1,5,2022,POTTER,375,THE GSNIAO-26 WAS IN THE PROCESS OF SHOVING CARS INTO GAVILON GRAIN FACILITY. THE CREW HAD 3 LOCOMOT,"IVES AND 30 CARS SHOVING THEIR FINAL CUT INTO 2 TRACK, 17 CARS TRAVERSED THE 2/3 SWITCH WHEN THE CMO",21988 CLIMBED THE SWITCH POINT AND TRAVERSED THE ADJACENT RAIL UNTIL DERAILING APPROXIMATELY 17 FEET,35.212518,-101.829395
UP,0722HO001,22,7,1,3,23,AM,1,0,HOUSTON,48,76,4.0,3.0,10,E,12991,1,2.0,79,122,E05C,2.0,1,10,107797,48C201,0,0,11.0,11.0,1,5,2022,HARRIS,201,"MNLEW-29 WENT INTO EMERGENCY ON THE BELL LINE, RESULTING IN 9 DERAILED CARS. PER OPCC, TRAIN WAS IN","THROTTLE 2 ON THE HEAD END WITH 3 LOCOMOTIVES, LOADING ABOUT 50K LBS OF TRACTIVE EFFORT FOR A TOTAL","OF AROUND 150KI. THE MID-DP WAS IN IDLE, 32 SECONDS PRIOR TO THE UDE, THE TRAIN HAD A MINIMUM SET ON",29.766146,-95.326512
UP,0722HO002,22,7,2,5,0,AM,1,0,BAYTOWN,48,77,1.0,2.0,9,R,4664,1,4.0,50,110,T202,4.0,1,9,107422,48C201,0,0,4.0,4.0,1,5,2022,HARRIS,201,THE LHO39-01 DERAILED 7 CARS AT MP 1.6 ON THE CEDAR BAYOU INDUSTRIAL LEAD DUE TO TRACK ISSUE. ONLY O,NE CAR LEAKED PRODUCT EQUX16030 SPILLING A SMALL AMOUNT OF PLASTIC PELLETS.,,29.796281,-94.903048
UP,0722HO010,22,7,17,11,23,AM,12,0,PASADENA,48,92,2.0,2.0,5,E,12149,1,2.0,74,75,H307,2.0,1,5,318,48C201,0,0,7.0,7.0,1,5,2022,HARRIS,201,"THE MEWPT-17 ARRIVED AT MANCHESTER YARD (PTRA), ENTERING THROUGH THE HIGH CROSSOVER, DRAGGING THEIR",TRAIN THROUGH TRACK 12 AND EXITING THE SOUTH END OF THE YARD. ONCE THEY CLEARED THE NORTH END OF TRA,"CK 12, CREW WAS INSTRUCTED TO CUT AWAY FROM THEIRCARS AND SHOVE INTO TRACK 11. AS THE CREW WAS SHOVI",29.716079,-95.226997
UP,0722TO057,22,7,21,4,0,AM,12,0,FORT WORTH,48,88,1.0,1.0,5,E,48,1,2.0,0,1,M411,2.0,1,5,13691,48C439,0,0,,,3,5,2022,TARRANT,439,"TRAIN YFW31-21 WENT TO PULL 19 BOWL AND WHILE GETTING TRACK TIGHT, NOTICED BYPASS DAMAGE ON TCBX2621",26. NO DERAILMENT AND NO TRACK DAMAGE.,,32.722287,-97.379976
UP,0722HO014,22,7,18,9,40,AM,1,0,HOUSTON,48,84,2.0,1.0,0,E,30,1,2.0,0,1,M404,2.0,1,7,20319,48C201,0,0,,,1,5,2022,HARRIS,201,"DURING NORMAL HUMPING OPERATIONS, A KNUCKLE FELL OUT OF A CAR AND LODGED INTO THE FROG BELOW THE MAS",TER RETARDER. THE WHEELS OF TILX160437 STRUCK THE KNUCKLE AND CAUSED THE CAR TO DERAIL AND TIP OVER,ON ITS SOUTH SIDE. CAR OLNX718182 WAS THEN HUMPEDAND STRUCK THE B-END OF TILX160437 AND DERAILED THE,29.793852,-95.294324
UP,0722HO014,22,7,18,9,40,AM,1,0,HOUSTON,48,84,2.0,1.0,7,E,1921,1,2.0,2,48,M404,2.0,1,7,20319,48C201,0,0,2.0,,3,5,2022,HARRIS,201,"DURING NORMAL HUMPING OPERATIONS, A KNUCKLE FELL OUT OF A CAR AND LODGED INTO THE FROG BELOW THE MAS",TER RETARDER. THE WHEELS OF TILX160437 STRUCK THE KNUCKLE AND CAUSED THE CAR TO DERAIL AND TIP OVER,ON ITS SOUTH SIDE. CAR OLNX718182 WAS THEN HUMPEDAND STRUCK THE B-END OF TILX160437 AND DERAILED THE,29.793852,-95.294324
UP,0722SX006,22,7,4,11,59,PM,12,0,SAN ANTONIO,48,84,4.0,1.0,10,E,282,1,2.0,2,0,H318,2.0,1,10,339409,48C029,0,0,8.0,,3,5,2022,BEXAR,29,"TRAIN YEY22-04 KICKED 2 CARS THROUGH TRACK 12, THAT WAS CLEAR. THESE 2 CARS ROLLED OUT THE EAST END","OF EAST YARD AND INTO THE SIDE OF THE LAU07B-04, THAT WAS PULLING INTO TRACK 4 AT EAST YARD. THIS RE",SULTED IN 2 CARS OVER TURNED AND 3 CARS DERAILED.,29.435088,-98.448701
UP,0722SX006,22,7,4,11,59,PM,12,0,SAN ANTONIO,48,84,4.0,1.0,5,E,3600,1,2.0,2,38,H318,2.0,1,10,339409,48C029,0,0,10.0,10.0,1,5,2022,BEXAR,29,"TRAIN YEY22-04 KICKED 2 CARS THROUGH TRACK 12, THAT WAS CLEAR. THESE 2 CARS ROLLED OUT THE EAST END","OF EAST YARD AND INTO THE SIDE OF THE LAU07B-04, THAT WAS PULLING INTO TRACK 4 AT EAST YARD. THIS RE",SULTED IN 2 CARS OVER TURNED AND 3 CARS DERAILED.,29.435088,-98.448701
UP,0722SX021,22,7,22,9,30,PM,6,0,SAN ANTONIO,48,91,4.0,2.0,0,E,123,1,2.0,0,2,E34C,2.0,1,6,20193,48C029,0,0,,,3,5,2022,BEXAR,29,"TRAIN YSA21-22 WAS PULLING ON THE SOUTH LEAD AT SOSAN YARD. AS THE JOB WAS PULLING SOUTH, A CARMAN N",OTICED THAT A DRAWBAR THAT WAS HANGING LOW HAD COME UNCOUPLED FROM THE TRAIN. THE YSA21-22 STOPPED A,ND THE CUT THAT HAD COME UNCOUPLED COUPLED BACK INTO THE TRAIN. THE FORCE CAUSED 2 AUTORACKS AND 1 T,29.373765,-98.559181
UP,0722SX021,22,7,22,9,30,PM,6,0,SAN ANTONIO,48,91,4.0,2.0,6,E,11360,1,2.0,79,10,E34C,2.0,1,6,20193,48C029,0,0,5.0,5.0,1,5,2022,BEXAR,29,"TRAIN YSA21-22 WAS PULLING ON THE SOUTH LEAD AT SOSAN YARD. AS THE JOB WAS PULLING SOUTH, A CARMAN N",OTICED THAT A DRAWBAR THAT WAS HANGING LOW HAD COME UNCOUPLED FROM THE TRAIN. THE YSA21-22 STOPPED A,ND THE CUT THAT HAD COME UNCOUPLED COUPLED BACK INTO THE TRAIN. THE FORCE CAUSED 2 AUTORACKS AND 1 T,29.373765,-98.559181
UP,0722SX029,22,7,28,1,41,PM,1,0,CALDWELL,48,92,2.0,1.0,28,E,18793,3,1.0,109,160,H521,1.0,3,28,52875,48C051,0,0,6.0,6.0,1,5,2022,BURLESON,51,"THE MNLEG-27 WAS TRAVELING SOUTH ON THE GIDDINGS SUB AT MP 35, WHEN THEY WENT INTO UDE. UPON INSPECT","ION, CONDUCTOR FOUND 6 CARS DERAILED IN FOUR DIFFERENT LOCATIONS IN THE TRAIN.",,30.468481,-96.72721
UP,0722TO005,22,7,3,6,40,AM,1,0,EL PASO,48,77,1.0,1.0,2,E,2924,1,2.0,26,9,T108,2.0,1,2,16381,48C141,0,0,8.0,8.0,1,5,2022,EL PASO,141,TRAIN YLP27-02 WAS INVOLVED IN SWITCHING OPERATIONS ON THE EAST END OF D YARD AT DALLAS STREET IN EL,"PASO, TX. AS THEY WERE SHOVING A CUT OF THEIR TRAIN INTO THE YARD, THE RAIL ROLLED UNDERNEATH AN AU","TORACK, CAUSING 6 CARS TO DERAIL DUE TO CURVE ALIGNMENT. NO INJURIES OCCURRED.",31.773032,-106.468544
UP,0722TO007,22,7,4,8,45,PM,1,0,DALLAS,48,95,4.0,1.0,5,E,2428,1,2.0,19,13,H704,2.0,1,5,24837,48C113,0,0,5.0,,1,5,2022,DALLAS,113,"THE YMY74R-04 WAS MAKING AN RCL MOVE FROM THE NORTH LEAD INTO TRACK 1, THROUGH THE CROSSOVER. THEY S","HOVED REMOTE LIGHT POWER INTO TRACK 1, BUT DID NOT REALIZE THE CROSSOVER SWITCHES GOING FROM THE PAS","S TO THE DRILL WERE LINED AGAINST THEM. THEY RAN THROUGH THE SWITCH, MAKING A TRAILING POINT MOVE TO",32.723695,-96.754179
UP,0722TO008,22,7,5,7,45,AM,1,0,FORT WORTH,48,81,2.0,1.0,4,E,3093,1,2.0,23,7,E11C,2.0,1,4,18424,48C439,0,0,,,1,5,2022,TARRANT,439,"THE YFW10R-05, HAD TWO CARS DERAIL ON THE 17-21 LEAD SWITCH AFTER ROLLING FREE TOWARDS TRACK 17. THE",HEAD 5 CARS TRAVERSED OVER THE SWITCH AND THE REAR SET OF TRUCKS ON AN EMPTY AUTORACK STARTED TRAVE,"RSING TOWARD 19 TRACK. IT WAS FOUND THERE WAS LOW AIR PRESSURE IN THE POWER SWITCHES, CAUSING THE SW",32.72154,-97.381465
UP,0522HO024,22,5,21,5,25,PM,7,0,HOUSTON,48,90,2.0,2.0,25,E,7886,4,1.0,46,58,M304,1.0,4,25,17383,48C201,1,0,7.0,7.0,1,5,2022,HARRIS,201,"TRAIN MNOEWB-19, LEAD LOCOMOTIVE UP6316, STRUCK A TANKER TRUCK AT THE SHELDON ROAD CROSSING AFTER DR",IVER WENT AROUND THE GATE ARM. THE TANKER TRUCK WAS DRAGGED APPROXIMATELY 10 CARS BEFORE THE TRAIN A,ND TANKER CAME TO REST. THE DRIVER OF THE VEHICLE WAS TAKEN AWAY BY FIRST RESPONDERS.,29.8682,-95.12819
UP,0722TO013,22,7,7,12,0,PM,1,0,ODESSA,48,91,2.0,1.0,1,E,17790,1,2.0,129,12,H503,2.0,1,1,12319,48C135,0,0,7.0,7.0,1,5,2022,ECTOR,135,MFWMH-06 STOPPED AT THE EAST CROSSOVER LEADING INTO ODESSA YARD. THEY LINED THEMSELVES INTO THE YARD,"AND BEGAN TO HEAD INTO TRACK 1. THE TRAIN WAS 17,790 TONS WITH 129 LOADS AND 12 EMPTIES (3X2 LOCOMO","TIVES) WHICH WERE ALL ODESSA DESTINED CARS. THE CREW PULLED THE TRAIN WEST, ALL THE WAY UP TO THE RE",31.873699,-102.310207
UP,0722TO028,22,7,14,6,21,PM,12,0,DALLAS,48,90,3.0,1.0,0,R,2103,2,1.0,31,9,M501,1.0,2,14,469212,48C113,0,0,,,1,5,2022,DALLAS,113,TRAIN YMY74R-14 WAS IN THE PROCESS OF OF BUILDING THE MDLDL ON THE MAINLINE AT DALLAS YARD. CREW DOU,"BLED UP 3 TRACKS AND WAS PULLING WEST LEG OF WYE TO GET HEAD ROOM, CROSSING OVER THE LAMAR STREET CR","OSSING. THEY HAD TO WAIT TO GET FLAGGED PAST SIGNAL AT HL260. FOREMAN STARTED SHOVE, STARTED REDUCIN",32.694678,-96.738506
BNSF,KS0822111,22,8,17,4,50,AM,1,0,HEREFORD,48,69,1.0,1.0,67,R,5636,5,1.0,49,0,T214,1.0,5,67,2328480,48C117,0,0,7.0,7.0,1,5,2022,DEAF SMITH,117,TRAIN WAS TRAVERSING MAIN 2 TRACK WHEN THEY DERAILED 18 RAILCARS DUE TO BROKEN JOINT BAR.  NO HAZMAT,RELEASED.,,34.867194,-102.28828
UP,0722TO028,22,7,14,6,21,PM,12,0,DALLAS,48,90,3.0,1.0,14,E,6453,2,1.0,61,36,M501,1.0,2,14,469212,48C113,0,0,3.0,,3,5,2022,DALLAS,113,TRAIN YMY74R-14 WAS IN THE PROCESS OF OF BUILDING THE MDLDL ON THE MAINLINE AT DALLAS YARD. CREW DOU,"BLED UP 3 TRACKS AND WAS PULLING WEST LEG OF WYE TO GET HEAD ROOM, CROSSING OVER THE LAMAR STREET CR","OSSING. THEY HAD TO WAIT TO GET FLAGGED PAST SIGNAL AT HL260. FOREMAN STARTED SHOVE, STARTED REDUCIN",32.694678,-96.738506
UP,0722TO044,22,7,20,6,51,PM,1,0,DALLAS,48,107,3.0,1.0,9,E,7348,3,1.0,0,0,M404,1.0,3,10,36550,48C113,0,0,,,1,5,2022,DALLAS,113,THE DGNO 3LDADAJ-20 WAS TRAVELING EASTBOUND ON MAIN TRACK ONE AT MP 214-215 TO MAKE A SET OUT AT CAD,"IZ YARD OFF MAIN ONE WHEN THEIR TRAIN WENT INTO EMERGENCY. AS THE CONDUCTOR WAS GETTING OFF TRAIN, T",HE AIR CAME BACK UP AND THE DISPATCHER NOTIFIED THEM THAT THE AMTRAK SWITCH WAS NOW SHOWING A LIGHT.,32.771906,-96.804213
UP,0722TO050,22,7,25,5,53,AM,12,0,FORT WORTH,48,84,1.0,1.0,0,E,41,1,2.0,0,1,M404,2.0,1,6,14143,48C439,0,0,,,3,5,2022,TARRANT,439,"YFW32R-24, DURING HUMPING OPERATIONS, CAR MULX700517, THAT WAS HEADED FOR TRACK 41, STALLED ON THE 4","1/48 SWITCH AND THE STAR SYSTEM LINED THE RCRX1726 TO 47 BOWL, RESULTING IN THE TWO CARS CORNERING.","THE MULX700517 DERAILED THE WEST SET OF TRUCKS ANDTHE RCRX1726 SUSTAINED DAMAGES; HOWEVER, DID NOT D",32.720387,-97.382687
BNSF,KS0822205,22,8,30,10,46,AM,7,0,HEREFORD,48,73,2.0,1.0,65,R,5121,5,1.0,37,0,M302,1.0,5,65,34039,48C117,1,0,1.0,1.0,1,5,2022,DEAF SMITH,117,SEMI TRUCK AND TRAILER WAS STOPPED ON THE GRADE CROSSING WHEN TRAIN STRUCK THE TRAILER.  NO HAZMAT R,ELEASED.,,34.835782,-102.354043
UP,0722TO050,22,7,25,5,53,AM,12,0,FORT WORTH,48,84,1.0,1.0,6,E,126,1,2.0,1,0,M404,2.0,1,6,14143,48C439,0,0,5.0,,1,5,2022,TARRANT,439,"YFW32R-24, DURING HUMPING OPERATIONS, CAR MULX700517, THAT WAS HEADED FOR TRACK 41, STALLED ON THE 4","1/48 SWITCH AND THE STAR SYSTEM LINED THE RCRX1726 TO 47 BOWL, RESULTING IN THE TWO CARS CORNERING.","THE MULX700517 DERAILED THE WEST SET OF TRUCKS ANDTHE RCRX1726 SUSTAINED DAMAGES; HOWEVER, DID NOT D",32.720387,-97.382687
UP,0722TO051,22,7,25,1,24,PM,12,0,FORT WORTH,48,98,2.0,1.0,3,E,129,1,2.0,1,0,M407,2.0,1,3,18808,48C439,0,0,,,3,5,2022,TARRANT,439,"YFW11-29, HAD CAR HOKX132126 GO THROUGH THE INERT RETARDER IN 33 BOWL AND OUT ON TO 43 LEAD, STRIKIN","G A CUT BEING PULLED OUT OF THE BOWL, RESULTING IN THE DERAILMENT OF A TOTAL OF 5 CARS, 4 ON CUT BEI",NG PULLED OUT AND THE HOKX132126. NO INJURIES OR HAZARDOUS MATERIAL RELEASE. CAR HOKX132126 WAS FOUN,32.721056,-97.381203
UP,0722TO051,22,7,25,1,24,PM,12,0,FORT WORTH,48,98,2.0,1.0,2,E,11271,1,2.0,84,2,M407,2.0,1,3,18808,48C439,0,0,6.0,,1,5,2022,TARRANT,439,"YFW11-29, HAD CAR HOKX132126 GO THROUGH THE INERT RETARDER IN 33 BOWL AND OUT ON TO 43 LEAD, STRIKIN","G A CUT BEING PULLED OUT OF THE BOWL, RESULTING IN THE DERAILMENT OF A TOTAL OF 5 CARS, 4 ON CUT BEI",NG PULLED OUT AND THE HOKX132126. NO INJURIES OR HAZARDOUS MATERIAL RELEASE. CAR HOKX132126 WAS FOUN,32.721056,-97.381203
UP,0822TO041,22,8,29,9,15,PM,1,0,EL PASO,48,81,4.0,1.0,5,E,7104,1,2.0,58,5,M505,2.0,1,5,76128,48C141,0,1,9.0,9.0,1,5,2022,EL PASO,141,TRAIN ISIEP-29 CREW DERAILED TWO CARS WHILE MAKING A SHOVE MOVE INTO THE YARD FROM THE EAST END.,,,31.742305,-106.375433
UP,0722TO052,22,7,25,5,0,AM,12,0,BELLMEAD,48,82,1.0,1.0,3,E,1695,1,2.0,11,0,H601,2.0,1,5,41708,48C309,0,0,10.0,,1,5,2022,MCLENNAN,309,"THE YWA68-24, WHILE SWITCHING CARS OUT IN THE YARD, RELEASED TWO LOADED COVERED HOPPER CARS, GACX636","59 AND WFRX47250, INTO TRACK 43 UP AGAINST 11 CARS, THAT WAS ALREADY IN THE TRACK. ONCE ALL THE CARS","WERE PLACED IN THE TRACK, THE SWITCHMAN WAS IN THE PROCESS OF LACING UP THE AIR HOSES, WHEN HE NOTI",31.584842,-97.097819
UP,0722TO052,22,7,25,5,0,AM,12,0,BELLMEAD,48,82,1.0,1.0,5,E,96,1,2.0,0,2,H601,2.0,1,5,41708,48C309,0,0,,,3,5,2022,MCLENNAN,309,"THE YWA68-24, WHILE SWITCHING CARS OUT IN THE YARD, RELEASED TWO LOADED COVERED HOPPER CARS, GACX636","59 AND WFRX47250, INTO TRACK 43 UP AGAINST 11 CARS, THAT WAS ALREADY IN THE TRACK. ONCE ALL THE CARS","WERE PLACED IN THE TRACK, THE SWITCHMAN WAS IN THE PROCESS OF LACING UP THE AIR HOSES, WHEN HE NOTI",31.584842,-97.097819
UP,0722TO057,22,7,21,4,0,AM,12,0,FORT WORTH,48,88,1.0,1.0,2,E,3100,1,2.0,10,10,M411,2.0,1,5,13691,48C439,0,0,5.0,,1,5,2022,TARRANT,439,"TRAIN YFW31-21 WENT TO PULL 19 BOWL AND WHILE GETTING TRACK TIGHT, NOTICED BYPASS DAMAGE ON TCBX2621",26. NO DERAILMENT AND NO TRACK DAMAGE.,,32.722287,-97.379976
